iter	Passed	Remaining
0	1	1046
1	2	1001
2	2	947
3	3	961
4	4	944
5	5	923
6	6	915
7	7	913
8	8	907
9	9	897
10	9	891
11	10	885
12	11	884
13	12	877
14	13	873
15	14	868
16	14	866
17	15	864
18	16	862
19	17	862
20	18	861
21	19	858
22	20	856
23	21	856
24	21	853
25	22	852
26	23	850
27	24	847
28	25	846
29	26	847
30	27	847
31	28	847
32	28	847
33	29	846
34	30	846
35	31	845
36	32	845
37	33	843
38	34	841
39	34	839
40	35	838
41	36	836
42	37	834
43	38	833
44	39	832
45	40	831
46	40	830
47	41	828
48	42	826
49	43	825
50	44	823
51	45	821
52	45	821
53	46	819
54	47	819
55	48	817
56	49	817
57	50	815
58	51	814
59	51	812
60	52	811
61	53	809
62	54	808
63	55	807
64	56	806
65	56	805
66	57	804
67	58	803
68	59	801
69	60	797
70	60	794
71	61	792
72	62	790
73	63	789
74	63	788
75	64	787
76	65	786
77	66	785
78	67	785
79	68	784
80	69	784
81	70	783
82	70	782
83	71	781
84	72	782
85	73	781
86	74	779
87	75	778
88	75	775
89	76	775
90	77	774
91	78	773
92	79	772
93	80	773
94	81	771
95	82	775
96	82	772
97	83	769
98	84	768
99	85	768
100	86	768
101	87	768
102	88	766
103	88	766
104	89	763
105	90	762
106	91	762
107	92	761
108	93	762
109	94	761
110	95	761
111	96	761
112	96	760
113	97	759
114	98	758
115	99	758
116	100	757
117	101	757
118	102	756
119	103	755
120	103	754
121	104	753
122	105	752
123	106	751
124	107	750
125	108	749
126	108	748
127	109	747
128	110	747
129	111	746
130	112	745
131	113	744
132	114	743
133	114	743
134	115	743
135	116	742
136	118	743
137	118	742
138	119	742
139	120	741
140	121	740
141	122	739
142	123	738
143	123	737
144	124	736
145	125	733
146	126	732
147	127	731
148	127	730
149	128	729
150	129	728
151	130	728
152	131	727
153	132	727
154	133	727
155	134	726
156	135	725
157	135	723
158	136	722
159	137	721
160	138	720
161	139	719
162	139	718
163	140	717
164	141	716
165	142	715
166	143	714
167	144	714
168	145	713
169	146	713
170	146	712
171	147	711
172	148	708
173	148	707
174	150	707
175	150	706
176	151	705
177	152	704
178	153	703
179	154	702
180	155	701
181	155	700
182	156	700
183	157	699
184	158	698
185	159	697
186	160	696
187	161	697
188	162	696
189	163	695
190	163	694
191	164	693
192	165	691
193	166	690
194	167	689
195	167	687
196	168	686
197	169	685
198	170	684
199	171	684
200	172	683
201	173	683
202	173	682
203	174	681
204	175	680
205	176	679
206	177	678
207	177	676
208	178	675
209	179	674
210	179	673
211	180	671
212	181	670
213	182	669
214	183	668
215	183	667
216	184	667
217	185	666
218	186	664
219	187	663
220	188	662
221	188	661
222	189	661
223	190	659
224	191	658
225	191	657
226	192	656
227	193	654
228	194	653
229	194	652
230	195	651
231	196	649
232	197	648
233	197	647
234	198	646
235	199	645
236	200	643
237	200	642
238	201	641
239	202	640
240	203	639
241	203	638
242	204	637
243	205	636
244	206	634
245	206	633
246	207	632
247	208	631
248	208	630
249	209	629
250	210	627
251	211	627
252	212	626
253	213	625
254	213	624
255	214	623
256	215	622
257	216	621
258	216	620
259	217	619
260	218	618
261	219	616
262	219	616
263	220	614
264	221	613
265	222	612
266	222	611
267	223	610
268	224	609
269	225	608
270	225	607
271	226	606
272	227	605
273	228	604
274	228	602
275	229	601
276	230	600
277	230	599
278	231	598
279	232	597
280	233	597
281	234	596
282	235	595
283	235	594
284	236	593
285	237	592
286	238	591
287	238	590
288	239	589
289	240	588
290	241	587
291	241	586
292	242	585
293	243	584
294	244	583
295	244	582
296	245	581
297	246	580
298	247	579
299	247	578
300	248	577
301	249	576
302	250	575
303	251	574
304	251	573
305	252	573
306	253	572
307	254	571
308	255	570
309	255	569
310	256	568
311	257	567
312	258	566
313	259	567
314	260	566
315	261	566
316	262	565
317	263	564
318	264	564
319	265	563
320	265	562
321	266	561
322	267	561
323	268	560
324	269	559
325	270	558
326	271	557
327	271	557
328	272	556
329	273	555
330	274	554
331	275	553
332	276	553
333	276	552
334	277	551
335	278	550
336	279	549
337	280	548
338	281	548
339	281	547
340	282	546
341	283	545
342	284	544
343	285	543
344	286	543
345	286	542
346	287	541
347	288	540
348	289	539
349	290	539
350	291	538
351	292	537
352	293	537
353	293	536
354	294	535
355	295	534
356	296	534
357	297	533
358	298	532
359	298	531
360	299	530
361	300	529
362	301	528
363	301	527
364	302	526
365	303	525
366	304	524
367	304	523
368	305	522
369	306	521
370	307	520
371	308	520
372	309	519
373	309	518
374	310	517
375	311	516
376	312	516
377	313	515
378	314	514
379	314	513
380	315	512
381	316	511
382	317	510
383	317	509
384	318	508
385	319	507
386	320	506
387	320	505
388	321	504
389	322	504
390	323	503
391	324	502
392	325	502
393	325	501
394	326	500
395	327	499
396	328	498
397	328	497
398	329	496
399	330	495
400	331	494
401	331	493
402	332	492
403	333	491
404	334	490
405	334	489
406	335	488
407	336	488
408	337	487
409	337	486
410	338	485
411	339	484
412	340	483
413	341	482
414	341	481
415	342	481
416	343	480
417	344	479
418	345	478
419	345	477
420	346	477
421	347	476
422	348	475
423	349	474
424	350	474
425	351	473
426	352	472
427	352	471
428	353	470
429	354	470
430	355	469
431	356	468
432	357	467
433	357	466
434	358	465
435	359	465
436	360	464
437	361	463
438	361	462
439	362	461
440	363	460
441	364	459
442	364	458
443	365	457
444	366	456
445	367	456
446	367	455
447	368	454
448	369	453
449	370	452
450	370	451
451	371	450
452	372	449
453	373	449
454	374	448
455	374	447
456	375	446
457	376	445
458	377	444
459	377	443
460	378	442
461	379	441
462	380	440
463	380	440
464	381	439
465	382	438
466	383	437
467	384	436
468	385	436
469	386	435
470	387	434
471	388	434
472	389	433
473	389	432
474	390	431
475	391	431
476	392	430
477	393	429
478	394	428
479	394	427
480	395	426
481	396	425
482	397	425
483	397	424
484	398	423
485	399	422
486	400	421
487	401	420
488	401	419
489	402	418
490	403	418
491	403	417
492	404	416
493	405	415
494	406	414
495	406	413
496	407	412
497	408	411
498	409	410
499	409	409
500	410	408
501	411	407
502	411	407
503	412	406
504	413	405
505	414	404
506	414	403
507	415	402
508	416	401
509	417	400
510	417	399
511	418	399
512	419	398
513	420	397
514	420	396
515	421	395
516	422	394
517	423	393
518	423	392
519	424	391
520	425	390
521	425	390
522	426	388
523	427	387
524	427	387
525	428	386
526	429	385
527	430	384
528	430	383
529	431	382
530	432	381
531	433	381
532	433	380
533	434	379
534	435	378
535	436	377
536	436	376
537	437	375
538	438	374
